KabKot,H1. Persentase Jaminan Kesehatan,H2. Persentase Keluhan Kesehatan,H3. Persentase Kesakitan,H4. Jumlah Faskes,H5. Lama Rawat Inap,H6. Persentase Bayi Mendapatkan ASI sampai 1 tahun,H7. Persentase ASI sampai Baduta,H8. Rasio Dokter: Kecamatan,H9. Rasio Bidan:Desa/Kelurahan,H10. Rasio Jumlah Perawat:Kecamatan,H11. Angka Kematian Netto,H12. Rasio Posyandu Aktif:Desa/Kelurahan,H13. Persentase Ibu Mati Melahirkan,H14. Rata-rata Persentase Ibu Hamil Imunisasi Td,H15. Persentase Penanganan Neonatal,H16. Jumlah Bayi Mati Neonatal,H17. Persen BBLR,H18. Persentase Kunjunagn Neonatal Lengkap,H19. Persentase IMD,H20. Persentase ASI sampai 6 bulan,H21. Persen Pelayanan Kesehatan Bayi,H22. Cakupan Imunisasi Lanjutan DPT-HB-Hib 4 ,H23. Cakupan Imunisasi Lanjutan Campak/MR2,H24. Persentase Balita Timbang,H25. Persentase Balita Pendek,H26. Persentase Balita Kurus,H27. Persentase Kasus Gigi Dirujuk,H28. Jumlah Terduga TBC,H29. Persentase Keberhasilan Pengobatan TBC,H30. Persentase Pneumonia per Prediksi Terindikasi,H31. Persentase Diare Mendapat Pelayanan,H32. Persentase Hipertensi Mendapat Pelayanan,H33. Persentase DM Mendapat Pelayanan,H34. Persentase ODGJ Mendapat Pelayanan,H35. Persentase Sarana Air Minum Memenuhi Syarat,H36. Persentase Jamban Sehat,H37. Persentase Desa STBM,H38. TTU Memenuhi Syarat Kesehatan,H39. TPM Memenuhi Syarat Kesehatan
KAB. BANGKALAN,67.71,33.77,17.58,112,5.47,5.27,96.59,30.39,3.54,56.5,21.4,2.13,0.08,12.58,54.6,109,1.6,85,66.5,42.6,69.9,33.34,30.33,52.4,7.6,7.2,3.54,3309,92.3,104.7,71.5,31,90.9,56,96,94.2,80.8,79.6,72.2
KAB. SAMPANG,41.18,29.95,12.25,93,4.22,3.31,97,14.36,2.55,33.29,0.2,3.31,0.06,29.04,61.1,59,4.4,104.7,79.2,48.8,97.5,66.21,66.43,66,8.7,6.4,3.61,3547,85.7,5.5,91.1,12.4,62.4,33.7,38.9,94.2,98.9,18.8,14.3
KAB. PAMEKASAN,60.72,26.67,12.18,72,4.44,3.64,97.78,9.08,3.52,88.08,1.8,2.76,0.1,18.73,63.1,39,4,84.3,65.6,69.4,91.9,59.5,56.92,58.8,17,11.3,5.77,5660,90.6,56.2,73.4,43.2,115.8,32.4,78.9,100,100,66.3,61.3
KAB. SUMENEP,52.56,28.21,13.98,169,4.73,4.03,100,12.48,2.92,41.44,21.1,1.49,0.07,55.67,47.6,27,5.3,84.3,86.3,89.8,100.6,81.69,80.52,85.6,5.4,3.6,5.38,4393,89.4,16.4,27.7,41.2,333.4,73.1,79.5,91.5,95.8,67.3,56.3
KOTA KEDIRI,52.53,,18.11,122,5.45,4.23,94.23,38,9.7,472.67,21.3,7.17,0.05,14.02,84.5,5,3.7,96,44.4,67.2,93.4,82.83,82.76,25.8,23,11.8,0.69,2769,79.7,46.6,78.7,17.7,66.4,96.8,81.8,100,100,67,70.6
KOTA BLITAR,64.41,34.62,16.99,148,4.53,3.39,90.63,138.33,8.33,231,31.7,7.38,0.19,28.74,50.3,22,8.6,95.2,64.7,81.6,66.6,74.5,76.69,48.3,9,3.5,0.88,1689,81.1,65.8,65.1,9.3,43.4,98.2,54.4,100,100,77.3,76.8
KOTA MALANG,38.92,47.05,25.52,86,4.08,3.9,100,58.8,14.23,673.6,33.4,7.09,0.09,30.35,80.9,54,4.1,87.6,56.6,84.8,87,67.3,67.29,56.4,13.8,5,6.21,6843,85.1,60.7,18.6,17.5,70.9,44,100,100,100,88.8,79.7
KOTA PROBOLINGGO,73.71,26.35,11.35,230,5.26,4.33,89.49,299,8.1,113.4,18,5.97,0.14,12.08,57.9,27,6.2,96.9,53.9,72.4,86.1,68.79,,44.3,17.8,8.4,3.74,766,72.7,24.5,27,19.9,74.6,59,90.4,95.6,100,70.4,83.3
KOTA PASURUAN,51.81,27.84,13.92,98,4.85,4.18,98.2,68,6.97,119,18.9,8.5,0.29,38.3,68.1,21,4,93,60.5,51.2,77.8,87.02,87.05,63.1,19.1,9.5,2.17,2202,89.3,57.3,80.2,53.5,85.7,94.5,58.2,93.8,100,70,71.2
KOTA MOJOKERTO,46.62,17.18,7.46,108,3.79,3.36,96.61,59.67,9.67,259,7,9.22,0.19,29.18,83.5,9,3.8,99.5,80.6,83.7,96.8,57.22,55.33,35.1,9.4,6,8.21,1919,89.4,48.5,98.5,41.5,142.2,227.1,43,100,100,81,67.5
KOTA MADIUN,45.33,33.91,17.31,106,3.87,4.24,99.01,87,10.15,367,28.7,8.52,0.04,32.82,91.3,9,5.9,100.7,83.1,65.8,98.8,87.21,85.47,34.9,8.9,9.4,13.53,2077,93.7,104.8,108.4,55.9,112.7,92,94.1,100,100,96,95.8
KOTA SURABAYA,140.12,32.53,13.14,106,4.49,4.21,95.32,11.94,9.79,284.45,22.1,11.25,0.06,29.06,93.2,146,1.3,100,69.8,73.6,98,90.91,92.12,28.2,9.1,5,10.12,50840,90.6,48.5,49.5,84.2,102.4,93.4,71.2,98.3,100,72.5,88
KOTA BATU,56.08,31.62,16.56,166,4.96,4.25,97.05,1270,4.46,150.67,12.3,7.46,0.06,19.77,77.9,15,6.3,97.2,79.1,72.1,99.6,75.52,76.41,51,19.1,5.6,2.18,1015,71.8,9.9,45.5,14.5,84.7,66.2,71.2,100,100,79.5,65.3
